"","Formula","Mass","CAS"
"326","C6H6O3 ",126.031695,"118-71-8 "
"327","C6H7NO ",109.052764,"1192-58-1 "
"328","C6H7NO ",109.052764,"1072-83-9 "
"329","C6H8N",94.06567426,""
"330","C6H8N2 ",108.068748,"13925-00-3 "
"331","C6H8N2S ",140.040818,"2882-20-4 "
"332","C6H8O ",96.057515,"3208-16-0 "
"333","C6H8O ",96.057515,"67363-95-5 "
"334","C6H8O2 ",112.05243,"13679-46-4 "
"335","C6H8O2 ",112.05243,"765-70-8 "
"336","C6H8O3 ",128.047345,"87021-36-1 "
"337","C6H8O7",192.0270026,""
"338","C6H8OS ",128.029585,"1438-91-1 "
"339","C6H8OS ",128.029585,"63012-97-5 "
"340","C6H8OS ",128.029585,"59303-05-8 "
"341","C6H8OS ",128.029585,"13678-59-6 "
"342","C6H8OS2 ",160.001655,"57500-00-2 "
"343","C6H8OS2 ",160.001655,"65505-17-1 "
"344","C6H9NO ",111.068414,"24667-03-6 "
"345","C6H9NO ",111.068414,"53833-20-8 "
"346","C6H9NO ",111.068414,"42463-54-7 "
"347","C6H9NO ",111.068414,"53833-29-7 "
"348","C6H9NO ",111.068414,"29584-92-7 "
"349","C6H9NS ",127.045569,"19961-52-5 "
"350","C6H9NS ",127.045569,"15679-12-6 "
"351","C6H9NS ",127.045569,"52414-91-2 "
"352","C6H9NS ",127.045569,"32272-48-3 "
"353","C6H9NS ",127.045569,"31883-01-9 "
"354","C6H9NS ",127.045569,"13623-11-5 "
"355","C76H52O46",1700.172974,""
"356","C7H10N2 ",122.084398,"18138-03-9 "
"357","C7H10N2 ",122.084398,"14667-55-1 "
"358","C7H10N2O2 ",154.074228,"3705-27-9 "
"359","C7H10O ",110.073165,"10504-04-8 "
"360","C7H10O ",110.073165,"10599-59-4 "
"361","C7H10O2 ",126.06808,"13494-06-9 "
"362","C7H10O2 ",126.06808,"13494-07-0 "
"363","C7H10O2 ",126.06808,"  "
"364","C7H10O2 ",126.06808,"3008-43-3 "
"365","C7H10OS ",142.045235,"63359-63-7 "
"366","C7H10OS ",142.045235,"2024-70-6 "
"367","C7H10OS2 ",174.017305,"61197-06-6 "
"368","C7H11NO ",125.084064,"53833-31-1 "
"369","C7H11NO ",125.084064,"53833-30-0 "
"370","C7H11NO ",125.084064,"30408-61-8 "
"371","C7H11NO ",125.084064,"33318-74-0 "
"372","C7H11NS ",141.061219,"32272-49-4 "
"373","C7H11NS ",141.061219,"15729-76-7 "
"374","C7H11NS ",141.061219,"873-64-3 "
"375","C7H11NS ",141.061219,"32272-57-4 "
"376","C7H12O2 ",128.08373,"13706-89-3 "
"377","C7H12O2 ",128.08373,"13706-86-0 "
"378","C7H12O6 ",192.06339,"77-95-2 "
"379","C7H13NO3 ",159.089544,"177794-04-6 "
"380","C7H13NO5 ",191.079374,"190957-44-9 "
"381","C7H13NO5 ",191.079374,"156705-04-3 "
"382","C7H14O2 ",130.09938,"106-70-7 "
"383","C7H14O2S ",162.07145,"50746-09-3 "
"384","C7H19N3",145.1578976,""
"385","C7H6O2 ",122.03678,"623-30-3 "
"386","C7H6O3",138.0316941,""
"387","C7H6O3 ",138.031695,"1438-92-2 "
"388","C7H6O5",170.0215233,""
"389","C7H7NO2",137.0476785,"535-83-1"
"390","C7H7NO2 ",137.047679,"535-83-1 "
"391","C7H7NO2 ",137.047679,"93-60-7 "
"392","C7H8N2 ",120.068748,"38713-41-6 "
"393","C7H8N2 ",120.068748,"34413-32-6 "
"394","C7H8N2 ",120.068748,"13925-08-1 "
"395","C7H8N4O2",180.0647255,""
"396","C7H8N4O2",180.0647255,""
"397","C7H8N4O2",180.0647255,""
"398","C7H8N4O3",196.0596401,""
"399","C7H8N4O3",196.0596401,""
"400","C7H8O",108.0575149,""
"401","C7H8O",108.0575149,""
"402","C7H8O",108.0575149,""
"403","C7H8O2",124.05243,"90-05-1"
"404","C7H8O2 ",124.05243,"6975-60-6 "
"405","C7H8O2 ",124.05243,"1193-79-9 "
"406","C7H8O2 ",124.05243,"488-17-5 "
"407","C7H8O2 ",124.05243,"452-86-8 "
"408","C7H8O2S ",156.0245,"13678-68-7 "
"409","C7H8O3 ",140.047345,"623-17-6 "
"410","C7H8OS ",140.029585,"13679-74-8 "
"411","C7H8OS ",140.029585,"1073-29-6 "
"412","C7H8S ",124.03467,"100-68-5 "
"413","C7H9N ",107.073499,"536-78-7 "
"414","C7H9NO ",123.068414,"2167-14-8 "
"415","C7H9NO ",123.068414,"1073-26-3 "
"416","C7H9NO2 ",139.063329,"23012-25-1 "
"417","C8H10N2 ",134.084398,"108653-51-6 "
"418","C8H10N2 ",134.084398,"104638-11-1 "
"419","C8H10N2 ",134.084398,"157615-33-3 "
"420","C8H10N2O ",150.079313,"54300-08-2 "
"421","C8H10N2O ",150.079313,"54300-09-3 "
"422","C8H10N4O2 ",194.080376,"58-08-2 "
